Analyzer:	Hewlett-Packard, E4407B, SG45102005, A.14.06
Angle Counter:	SA 1885 FIRMWARE # A323537A
Number of angles:	2026
Start to End Frequency	2022.5000MHz	2022.5000MHz

Field Amplitude
		Frequencies [MHz]
Angle	2022.50
-179.36	-66.539
-179.39	-67.113
-179.45	-67.225
-179.54	-66.868
-179.61	-67.062
-179.67	-66.662
-179.78	-66.662
-179.85	-66.915
-179.95	-67.019
179.97	-67.156
179.91	-67.012
179.79	-66.364
179.62	-66.997
179.50	-67.665
179.37	-66.807
179.19	-66.944
179.07	-66.537
178.88	-66.995
178.75	-67.160
178.62	-67.160
178.43	-67.882
178.29	-66.839
178.10	-66.890
177.90	-67.794
177.77	-68.231
177.55	-68.231
177.39	-68.749
177.16	-69.022
177.01	-69.022
176.86	-69.203
176.63	-69.828
176.48	-69.828
176.32	-69.796
176.08	-69.336
175.93	-69.786
175.70	-69.878
175.55	-69.761
175.31	-70.568
175.16	-70.782
174.91	-70.214
174.75	-69.845
174.60	-69.869
174.35	-70.190
174.18	-70.070
173.94	-70.070
173.78	-70.479
173.54	-70.250
173.39	-70.250
173.16	-72.321
172.99	-70.783
172.84	-70.783
172.60	-72.191
172.43	-70.901
172.20	-71.985
172.04	-72.434
171.79	-72.502
171.63	-72.445
171.40	-73.640
171.23	-72.430
171.07	-74.134
170.83	-74.134
170.68	-75.533
170.44	-74.949
170.20	-74.949
170.04	-77.199
169.80	-75.586
169.64	-75.586
169.48	-76.651
169.24	-75.388
169.08	-75.388
168.84	-77.107
168.69	-77.863
168.44	-75.917
168.28	-77.784
168.05	-79.137
167.88	-78.312
167.65	-78.312
167.50	-82.278
167.34	-79.639
167.09	-79.639
166.93	-80.147
166.69	-79.568
166.53	-79.568
166.29	-81.128
166.13	-81.599
165.89	-83.302
165.73	-79.726
165.49	-81.599
165.33	-83.445
165.09	-83.445
164.94	-79.118
164.77	-79.128
164.53	-79.128
164.37	-77.375
164.13	-76.882
163.96	-76.148
163.73	-73.998
163.57	-75.133
163.41	-73.076
163.16	-71.650
162.92	-71.202
162.68	-70.638
162.44	-69.516
162.28	-69.565
162.12	-68.999
161.88	-69.018
161.57	-67.250
161.41	-66.212
161.17	-66.291
161.01	-66.337
160.85	-65.815
160.61	-65.563
160.37	-65.485
160.21	-65.207
159.96	-64.991
159.73	-65.002
159.56	-64.326
159.32	-64.817
159.16	-64.244
158.93	-64.583
158.77	-64.177
158.53	-64.538
158.37	-64.269
158.13	-64.384
157.89	-64.384
157.74	-64.663
157.57	-64.962
157.34	-65.043
157.18	-64.944
156.93	-64.987
156.77	-64.869
156.54	-65.299
156.38	-65.441
156.21	-65.803
155.99	-66.451
155.83	-66.090
155.58	-66.036
155.43	-65.698
155.27	-67.351
155.03	-67.522
154.79	-68.354
154.63	-69.013
154.47	-69.161
154.22	-69.962
154.06	-69.717
153.82	-70.331
153.66	-70.582
153.43	-70.332
153.27	-71.701
153.04	-71.350
152.88	-71.307
152.65	-72.497
152.48	-72.497
152.24	-73.516
152.09	-72.682
151.92	-72.682
151.68	-72.813
151.52	-72.042
151.28	-72.042
151.11	-70.582
150.87	-71.071
150.72	-71.071
150.48	-70.255
150.33	-70.190
150.09	-69.797
149.93	-69.178
149.69	-69.379
149.53	-69.185
149.37	-68.595
149.13	-68.620
148.97	-68.599
148.73	-67.113
148.57	-67.051
148.33	-67.321
148.17	-66.692
148.01	-66.512
147.78	-67.053
147.62	-66.865
147.38	-67.360
147.14	-67.148
146.99	-67.113
146.83	-66.944
146.58	-66.904
146.43	-67.511
146.27	-68.062
146.03	-67.048
145.87	-67.048
145.64	-67.947
145.47	-68.121
145.31	-68.121
145.08	-69.603
144.92	-69.602
144.68	-69.602
144.53	-71.071
144.37	-71.015
144.13	-71.009
143.97	-71.072
143.74	-71.702
143.57	-72.171
143.33	-72.896
143.17	-72.768
142.94	-72.232
142.78	-72.507
142.54	-73.258
142.39	-73.148
142.15	-75.055
141.99	-73.677
141.84	-73.553
141.60	-74.109
141.36	-74.871
141.20	-74.653
140.96	-75.568
140.80	-75.710
140.57	-76.106
140.40	-77.011
140.24	-76.295
140.00	-77.693
139.85	-79.224
139.61	-79.881
139.45	-79.433
139.29	-79.433
139.06	-79.071
138.90	-79.429
138.66	-79.429
138.50	-80.829
138.34	-77.020
138.10	-76.929
137.87	-75.729
137.71	-75.825
137.54	-76.208
137.31	-74.873
137.14	-74.839
136.90	-74.407
136.74	-75.039
136.50	-72.897
136.35	-73.627
136.19	-73.816
135.96	-72.383
135.80	-71.473
135.55	-71.473
135.40	-70.814
135.24	-71.303
135.00	-71.303
134.84	-70.183
134.60	-70.110
134.44	-70.110
134.20	-69.668
134.04	-69.223
133.80	-69.223
133.64	-69.216
133.41	-69.671
133.17	-69.225
132.94	-69.446
132.78	-70.068
132.62	-70.946
132.37	-71.200
132.22	-72.362
132.06	-72.362
131.81	-72.493
131.65	-73.830
131.42	-73.278
131.25	-75.028
131.01	-75.126
130.86	-75.820
130.62	-74.473
130.46	-75.730
130.23	-75.999
130.07	-75.811
129.90	-75.862
129.67	-75.809
129.51	-75.522
129.34	-74.870
129.10	-74.114
128.94	-74.114
128.70	-74.533
128.53	-74.769
128.38	-74.769
128.14	-72.509
127.99	-72.182
127.75	-71.245
127.60	-71.262
127.44	-71.634
127.20	-73.106
127.04	-73.106
126.81	-72.180
126.65	-71.695
126.42	-71.695
126.26	-73.254
126.09	-71.830
125.85	-71.830
125.62	-70.859
125.45	-70.808
125.21	-70.808
125.06	-69.745
124.90	-70.772
124.66	-70.772
124.51	-70.733
124.27	-70.494
124.10	-70.494
123.94	-70.494
123.71	-71.751
123.54	-73.797
123.30	-73.797
123.14	-74.984
122.90	-78.479
122.73	-78.479
122.50	-78.632
122.33	-79.539
122.10	-79.539
121.95	-77.888
121.71	-80.174
121.55	-80.174
121.31	-79.726
121.15	-85.764
120.91	-85.787
120.75	-80.161
120.51	-83.680
120.35	-82.628
120.11	-85.932
119.95	-85.782
119.72	-83.919
119.56	-83.919
119.40	-79.334
119.24	-76.311
119.00	-76.902
118.84	-75.591
118.61	-73.603
118.45	-73.147
118.28	-72.373
118.05	-71.290
117.89	-70.946
117.65	-70.946
117.49	-69.867
117.34	-69.274
117.09	-69.274
116.93	-69.281
116.70	-68.160
